Linea 41: //pronoun = "  ";
Linea 42: //title = "madame";
Linea 46: //pronoun = " ";
Linea 47: //title = " ";
Linea 52: greeting = "friends"; 
Linea 54: greeting = "friend"; //Avatar is solo
Linea 60: av_1st_greet = "@My liege..@";
Linea 61: npc_1st_greet = "@Avatar, thou art here!@";
Linea 63: av_2nd_greet  = "@My liege..@";
Linea 64: npc_2nd_greet = "@Yes, Avatar?@";
Linea 80: item.say("The noble ruler of Britannia.*");
Linea 81: item.say("@" + player_name + "! 'Tis good to see thee again. Much hath happened since thou last departed our realm.@");
Linea 85: item.say("@Take this key. It will unlock the gatehouse by the southern entrance to the castle. Then you can use the lever inside to raise the portcullis, and the crank will lower the drawbridge.@*");
Linea 86: item.say("@The same key will also let you into the sewers under the castle. Now let me tell thee what hath transpired since thy last visit.@*");
Linea 89: item.say("@The vast underworld from which thou didst rescue me hath collapsed. Yet still there are forces of evil abroad in the land.@*");
Linea 90: item.say("@Britannia is under attack by gargoyles such as those thou just fought. They have been coming up through the dungeons.@*");
Linea 91: item.say("@Thus far they have mainly been attacking the shrines of the eight virtues.@*");
Linea 92: item.say("@When the Shrine of Compassion didst fall, Sir Geoffrey sent a party to free it. Do thou ask him of this mission. Perhaps thou canst prove of some assistance.@");
Linea 93: item.say("@Whilst thou art here, I have a room in the castle set aside for thy personal use. 'Tis in the west wing of the castle, just south of mine own chambers. I have had my servants place some equipment there, in case thou shouldst have need of it.@**");
Linea 94: item.say("@Of course, thou mayst feel free to borrow anything in my castle, if thou shouldst need it.@");
Linea 95: item.say("@Lastly, any time thou dost need healing, do thou but ask me. If thou doth wish me to repeat all this later thou need but ask.@");
Linea 101: item.say("The noble ruler of Britannia.*");
Linea 102: item.say("@Good " + time_of_day + ", " + player_name + ". What wouldst thou speak of?@");
Linea 136: say("@I am Lord British, as thou knowest well.@");
Linea 139: say("@Thanks to thee, I sit once more upon the throne of Britannia.@*");
Linea 140: say("@Though 'tis a heavy burden in such troubled times as these.@");
Linea 144: say("Lord British waves his hand, and your whole party is healed!");
Linea 158: say("@The vast underworld from which thou didst rescue me hath collapsed. Yet still there are forces of evil abroad in the land.@*");
Linea 159: say("@Britannia is under attack by gargoyles such as those thou just fought. They have been coming up through the dungeons.@*");
Linea 160: say("@Thus far they have mainly been attacking the shrines of the eight virtues.@*");
Linea 161: say("@When the Shrine of Compassion didst fall, Sir Geoffrey sent a party to free it. Do thou ask him of this mission. Perhaps thou canst prove of some assistance.@");
Linea 162: say("@Whilst thou art here, I have a room in the castle set aside for thy personal use. 'Tis in the west wing of the castle, just south of mine own chambers. I have had my servants place some equipment there, in case thou shouldst have need of it.@**");
Linea 163: say("@Of course, thou mayst feel free to borrow anything in my castle, if thou shouldst need it.@");
Linea 164: say("@Lastly, any time thou dost need healing, do thou but ask me. If thou doth wish me to repeat all this later thou need but ask.@");
Linea 168: say("@The gargoyles art indeed the greatest threat our realm has ever known.@*");
Linea 169: say("@We are fortunate indeed that fate hath brought thee here in our hour of need.@");
Linea 173: say("@Perhaps thou canst drive these vile creatures back into the bowels of the earth from whence they came.@*");
Linea 174: say("@All our efforts thus far have availed us naught.@");
Linea 177: say("@By now the gargoyles may have captured them all.@*");
Linea 178: say("@Thou must hurry if thou wouldst foil their evil schemes...@");
Linea 182: say("@Stay strong in thy commitment to the eight virtues.@*");
Linea 183: say("@It is our belief in them that sets us apart from the cruel invaders who would destroy all that we hold dear.@");
Linea 186: say("@He is the Captain of the Guard.@");
Linea 189: say("You show Lord British the black stone.*");
Linea 190: say("@Hmmmm... I have such a stone, as thou may recall. I did not know that there were more such orbs.@*");
Linea 192: say("@To open a gate, use the stone, and carefully position it a few feet from thee.@");
Linea 199: say("@Ask the leaders of each town to tell thee of that.@");
Linea 202: say("@Do thou ask Tholden.@");
Linea 206: say("@He is my chancellor.@");
Linea 210: say("@Aye, Tholden is my chancellor.@");
Linea 215: say("@Please take good care of my little friend.@");
Linea 219: say("@Ah, thou hast heard of my little friend? Her name is Sherry, and I'm quite proud of her.@*");
Linea 227: say("@I collect rare books. There's one in particular I've been hunting for many years.@*");
Linea 228: say("@It's called 'The Wizard of Oz.' Ever heard of it?@");
Linea 242: say("@Thou hath found a copy!@*");
Linea 243: say("@Long hath I anticipated this moment...@*");
Linea 244: say("@Not since my childhood have I read this wondrous story.@");
Linea 245: say("Gingerly, he takes the tome. @Here is your reward.@ He gives you some glowing gems.");
Linea 265: say("@My favorite story is 'Hubert the Lion.'@");
Linea 269: say("@I've known it by heart, ever since I heard it as a child.@*");
Linea 270: say("@Hubert the Lion was haughty and vain, and especially proud of his elegant mane.@*");
Linea 271: say("@But conceit of this sort is not proper at all, and Hubert the Lion was due for a fall.@");
Linea 274: say("@Who told thee of that nickname!?@*");
Linea 275: say("@Well, I'd rather thou didst not call me that.@");
Linea 278: say("@'Tis I who should thank thee, Avatar, for all thou hast done for Britannia.@");
